step,loss,grad_norm,lr
100,0.674,8.414,7.7e-06
200,0.416,6.12,2.3e-05
300,0.329,5.713,3.8e-05
400,0.317,5.709,5.3e-05
500,0.298,4.961,6.8e-05
600,0.337,5.011,8.3e-05
700,0.337,4.698,9.7e-05
800,0.307,4.364,0.0001
900,0.277,3.764,0.0001
1000,0.269,3.699,9.9e-05
1000,0.277,3.726,9.9e-05
1000,0.261,3.476,9.9e-05
1000,0.246,3.257,9.9e-05
1000,0.238,3.232,9.9e-05
2000,0.237,3.366,9.9e-05
2000,0.237,3.288,9.9e-05
2000,0.217,2.86,9.8e-05
2000,0.217,3.11,9.8e-05
2000,0.224,3.036,9.8e-05
2000,0.22,2.915,9.8e-05
2000,0.212,3.055,9.7e-05
2000,0.218,3.067,9.7e-05
2000,0.209,2.96,9.7e-05
2000,0.205,2.878,9.7e-05
2000,0.208,2.843,9.6e-05
3000,0.199,2.571,9.6e-05
3000,0.21,2.861,9.6e-05
3000,0.202,2.914,9.6e-05
3000,0.197,2.472,9.5e-05
3000,0.192,2.838,9.5e-05
3000,0.194,2.856,9.5e-05
3000,0.183,2.582,9.4e-05
3000,0.186,2.563,9.4e-05
3000,0.181,2.871,9.3e-05
4000,0.177,2.445,9.3e-05
4000,0.183,2.596,9.3e-05
4000,0.182,2.394,9.2e-05
4000,0.18,2.569,9.2e-05
4000,0.173,2.472,9.1e-05
4000,0.174,2.602,9.1e-05
4000,0.171,2.536,9e-05
4000,0.167,2.568,9e-05
4000,0.167,2.382,9e-05
4000,0.161,2.312,8.9e-05
4000,0.167,2.478,8.9e-05
5000,0.161,2.307,8.8e-05
5000,0.158,2.3,8.8e-05
5000,0.154,2.44,8.7e-05
5000,0.166,2.393,8.7e-05
5000,0.159,2.139,8.6e-05
5000,0.16,2.364,8.5e-05
5000,0.16,2.321,8.5e-05
5000,0.163,2.407,8.4e-05
5000,0.157,2.313,8.4e-05
6000,0.153,2.237,8.3e-05
6000,0.148,2.126,8.3e-05
6000,0.145,2.229,8.2e-05
6000,0.164,2.242,8.1e-05
6000,0.146,2.343,8.1e-05
6000,0.16,2.229,8e-05
6000,0.149,2.161,8e-05
6000,0.141,2.103,7.9e-05
6000,0.14,1.964,7.8e-05
6000,0.134,2.112,7.8e-05
6000,0.149,2.159,7.7e-05
7000,0.149,2.173,7.6e-05
7000,0.144,2.082,7.6e-05
7000,0.139,1.945,7.5e-05
7000,0.142,2.271,7.4e-05
7000,0.134,1.947,7.4e-05
7000,0.14,2.132,7.3e-05
7000,0.133,1.916,7.2e-05
7000,0.139,1.97,7.2e-05
7000,0.139,1.957,7.1e-05
8000,0.139,1.972,7e-05
8000,0.131,1.87,7e-05
8000,0.133,1.924,6.9e-05
8000,0.13,1.894,6.8e-05
8000,0.132,1.941,6.7e-05
8000,0.122,1.873,6.7e-05
8000,0.13,1.931,6.6e-05
8000,0.129,1.993,6.5e-05
8000,0.13,1.932,6.4e-05
8000,0.121,1.914,6.4e-05
8000,0.123,1.949,6.3e-05
9000,0.129,1.831,6.2e-05
9000,0.124,1.931,6.2e-05
9000,0.118,1.887,6.1e-05
9000,0.114,1.745,6e-05
9000,0.12,1.745,5.9e-05
9000,0.122,1.834,5.8e-05
9000,0.118,1.84,5.8e-05
9000,0.119,1.797,5.7e-05
9000,0.113,1.77,5.6e-05
10000,0.113,1.786,5.5e-05
10000,0.115,1.82,5.5e-05
10000,0.116,1.773,5.4e-05
10000,0.112,1.779,5.3e-05
10000,0.108,1.693,5.2e-05
10000,0.117,1.809,5.2e-05
10000,0.11,1.742,5.1e-05
10000,0.111,1.736,5e-05
10000,0.112,1.686,4.9e-05
10000,0.106,1.778,4.9e-05
10000,0.109,1.645,4.8e-05
11000,0.11,1.732,4.7e-05
11000,0.106,1.651,4.6e-05
11000,0.101,1.632,4.6e-05
11000,0.106,1.673,4.5e-05
11000,0.111,1.699,4.4e-05
11000,0.113,1.769,4.3e-05
11000,0.102,1.657,4.2e-05
11000,0.105,1.648,4.2e-05
11000,0.105,1.651,4.1e-05
12000,0.105,1.581,4e-05
12000,0.104,1.654,3.9e-05
12000,0.095,1.509,3.9e-05
12000,0.099,1.592,3.8e-05
12000,0.105,1.606,3.7e-05
12000,0.101,1.673,3.7e-05
12000,0.106,1.724,3.6e-05
12000,0.098,1.624,3.5e-05
12000,0.1,1.609,3.4e-05
12000,0.099,1.566,3.4e-05
12000,0.097,1.625,3.3e-05
13000,0.095,1.489,3.2e-05
13000,0.098,1.523,3.2e-05
13000,0.097,1.531,3.1e-05
13000,0.096,1.58,3e-05
13000,0.098,1.577,2.9e-05
13000,0.094,1.525,2.9e-05
13000,0.097,1.536,2.8e-05
13000,0.096,1.566,2.7e-05
