step,loss,grad_norm
100,2.552,15.38
200,1.244,5.608
300,1.043,5.015
400,0.933,5.406
500,0.9,5.304
600,0.85,4.839
700,0.826,4.949
800,0.786,4.461
900,0.77,4.06
1000,0.708,3.792
1000,0.723,3.956
1000,0.696,3.883
1000,0.663,3.565
1000,0.685,3.627
2000,0.663,3.528
2000,0.646,3.42
2000,0.641,3.331
2000,0.648,3.53
2000,0.639,3.089
2000,0.622,3.151
2000,0.632,3.144
2000,0.614,3.285
2000,0.628,3.064
2000,0.614,3.054
2000,0.611,3.108
3000,0.595,3.141
3000,0.605,2.973
3000,0.589,3.05
3000,0.578,2.857
3000,0.603,3.036
3000,0.569,2.944
3000,0.572,2.857
3000,0.574,3.038
3000,0.579,3.012
4000,0.591,2.95
4000,0.572,3.024
4000,0.577,2.804
4000,0.556,2.697
4000,0.576,2.873
4000,0.565,2.917
4000,0.575,2.774
4000,0.563,2.807
4000,0.564,2.726
4000,0.546,2.748
4000,0.542,2.619
5000,0.547,2.576
5000,0.545,3.004
5000,0.549,2.804
5000,0.546,2.692
5000,0.547,2.751
5000,0.536,2.75
5000,0.531,2.729
5000,0.546,2.594
5000,0.534,2.612
6000,0.531,2.629
6000,0.533,2.525
6000,0.514,2.687
6000,0.529,2.588
6000,0.519,2.714
6000,0.526,2.566
6000,0.533,2.563
6000,0.534,2.92
6000,0.536,2.675
6000,0.513,2.579
6000,0.514,2.471
7000,0.507,2.49
7000,0.52,2.578
7000,0.51,2.55
7000,0.508,2.443
7000,0.502,2.611
7000,0.492,2.502
7000,0.482,2.466
7000,0.495,2.527
7000,0.518,2.433
8000,0.505,2.469
8000,0.51,2.411
8000,0.488,2.595
8000,0.519,2.464
8000,0.488,2.356
8000,0.489,2.386
8000,0.479,2.454
8000,0.488,2.446
8000,0.474,2.445
8000,0.475,2.317
8000,0.475,2.362
9000,0.486,2.466
9000,0.47,2.338
9000,0.472,2.272
9000,0.462,2.328
9000,0.483,2.428
9000,0.468,2.415
9000,0.47,2.269
9000,0.469,2.367
9000,0.466,2.35
10000,0.465,2.347
10000,0.466,2.287
10000,0.47,2.267
10000,0.459,2.246
10000,0.456,2.275
10000,0.466,2.324
10000,0.466,2.272
10000,0.453,2.318
10000,0.459,2.267
10000,0.447,2.387
10000,0.462,2.353
11000,0.448,2.222
11000,0.446,2.278
11000,0.435,2.18
11000,0.467,2.343
11000,0.452,2.32
11000,0.45,2.182
11000,0.432,2.268
11000,0.44,2.22
11000,0.441,2.246
12000,0.447,2.238
12000,0.444,2.219
12000,0.438,2.285
12000,0.436,2.216
12000,0.44,2.242
12000,0.443,2.18
12000,0.437,2.154
12000,0.436,2.274
12000,0.419,2.093
12000,0.439,2.196
12000,0.439,2.241
13000,0.427,2.235
13000,0.439,2.163
13000,0.427,2.181
13000,0.446,2.201
13000,0.434,2.297
13000,0.428,2.224
13000,0.426,2.183
13000,0.42,2.176
13000,0.417,2.134
14000,0.425,2.223
14000,0.414,2.134
14000,0.418,1.998
14000,0.408,2.147
14000,0.422,2.156
14000,0.413,2.093
14000,0.413,2.079
14000,0.413,2.208
14000,0.422,2.186
14000,0.411,2.17
14000,0.424,2.159
15000,0.422,2.131
15000,0.417,2.059
15000,0.426,2.132
15000,0.419,2.092
15000,0.423,2.247
15000,0.408,2.179
15000,0.424,2.135
15000,0.411,2.13
15000,0.411,2.148
16000,0.406,2.19
16000,0.403,2.058
16000,0.414,2.198
16000,0.408,2.198
16000,0.407,2.136
16000,0.408,2.171
16000,0.42,2.187
16000,0.405,2.119
16000,0.41,2.157
16000,0.414,2.238
16000,0.425,2.186
17000,0.415,2.13
17000,0.418,2.104
17000,0.409,2.032
17000,0.403,2.117
17000,0.405,2.15
17000,0.405,2.124
17000,0.407,2.227
17000,0.403,2.123
17000,0.407,2.108
18000,0.416,2.158
18000,0.421,2.245
18000,0.408,2.291
18000,0.404,2.243
18000,0.401,2.055
18000,0.41,2.078
18000,0.413,2.14
18000,0.41,2.17
18000,0.41,2.124
18000,0.403,2.013
18000,0.405,2.162
19000,0.393,2.043
19000,0.394,2.118
19000,0.411,2.143
19000,0.413,2.135
19000,0.403,2.171
19000,0.405,2.167
19000,0.393,2.063
19000,0.416,2.11
19000,0.418,2.203
20000,0.402,2.121
20000,0.43,2.218
20000,0.412,2.155
20000,0.402,2.122
20000,0.403,2.104
20000,0.415,2.106
