step,loss,grad_norm
200,1.9,8.862
400,1.015,4.036
600,0.841,3.939
800,0.752,3.632
1000,0.733,3.762
1000,0.677,3.304
1000,0.641,3.065
2000,0.606,2.811
2000,0.598,2.755
2000,0.571,2.538
2000,0.566,2.652
2000,0.555,2.506
3000,0.548,2.385
3000,0.541,2.463
3000,0.527,2.251
3000,0.528,2.396
3000,0.526,2.347
4000,0.511,2.309
4000,0.515,2.158
4000,0.516,2.319
4000,0.499,2.168
4000,0.511,2.266
5000,0.495,2.214
5000,0.498,2.22
5000,0.492,2.087
5000,0.475,2.069
5000,0.493,2.126
6000,0.485,2.044
6000,0.475,2.044
6000,0.478,2.112
6000,0.476,2.032
6000,0.471,1.965
7000,0.463,2.032
7000,0.46,1.966
7000,0.463,1.963
7000,0.464,1.969
7000,0.463,2.001
8000,0.464,2.041
8000,0.466,1.923
8000,0.461,2.002
8000,0.455,1.938
8000,0.455,2.019
9000,0.451,1.89
9000,0.448,1.901
9000,0.449,1.901
9000,0.451,1.841
9000,0.438,1.968
10000,0.44,1.814
10000,0.448,1.78
10000,0.442,1.83
10000,0.434,1.773
10000,0.446,1.831
11000,0.434,1.77
11000,0.434,1.789
11000,0.435,1.818
11000,0.427,1.763
11000,0.426,1.78
12000,0.423,1.799
12000,0.425,1.749
12000,0.427,1.744
12000,0.422,1.742
12000,0.423,1.713
13000,0.419,1.729
13000,0.413,1.713
13000,0.412,1.722
13000,0.416,1.698
13000,0.418,1.678
14000,0.407,1.656
14000,0.417,1.701
14000,0.408,1.669
14000,0.412,1.621
14000,0.414,1.632
15000,0.406,1.685
15000,0.403,1.638
15000,0.402,1.587
15000,0.402,1.643
15000,0.404,1.706
16000,0.396,1.682
16000,0.398,1.643
16000,0.397,1.609
16000,0.397,1.596
16000,0.399,1.642
17000,0.392,1.638
17000,0.395,1.57
17000,0.4,1.682
17000,0.391,1.603
17000,0.392,1.613
18000,0.391,1.61
18000,0.386,1.617
18000,0.383,1.626
18000,0.394,1.549
18000,0.388,1.585
19000,0.387,1.55
19000,0.382,1.59
19000,0.388,1.628
19000,0.381,1.581
19000,0.379,1.54
20000,0.379,1.554
20000,0.384,1.579
20000,0.381,1.538
20000,0.383,1.57
20000,0.378,1.557
21000,0.381,1.543
21000,0.383,1.582
21000,0.38,1.544
21000,0.371,1.553
21000,0.38,1.57
22000,0.385,1.551
22000,0.377,1.538
22000,0.38,1.554
22000,0.375,1.529
22000,0.374,1.504
23000,0.378,1.519
23000,0.374,1.522
23000,0.37,1.5
23000,0.372,1.493
23000,0.376,1.522
24000,0.367,1.542
24000,0.384,1.578
24000,0.378,1.567
24000,0.37,1.53
24000,0.372,1.511
25000,0.376,1.505
25000,0.37,1.532
25000,0.371,1.518
25000,0.376,1.533
25000,0.374,1.517
26000,0.378,1.511
26000,0.372,1.558
26000,0.374,1.498
26000,0.372,1.5
26000,0.375,1.547
27000,0.375,1.544
27000,0.373,1.518
27000,0.371,1.489
27000,0.371,1.496
27000,0.366,1.458
28000,0.371,1.509
28000,0.371,1.521
28000,0.369,1.514
28000,0.37,1.538
28000,0.369,1.467
29000,0.374,1.537
29000,0.373,1.501
29000,0.368,1.5
29000,0.377,1.539
29000,0.372,1.509
30000,0.372,1.496
30000,0.367,1.508
30000,0.372,1.524
30000,0.368,1.496
30000,0.377,1.529
31000,0.37,1.481
31000,0.366,1.489
31000,0.368,1.516
31000,0.373,1.516
31000,0.37,1.492
32000,0.371,1.505
32000,0.367,1.482
32000,0.365,1.501
32000,0.378,1.513
32000,0.372,1.536
33000,0.372,1.563
33000,0.369,1.5
33000,0.37,1.54
33000,0.361,1.482
33000,0.372,1.524
34000,0.365,1.491
34000,0.375,1.499
34000,0.371,1.503
34000,0.375,1.523
34000,0.369,1.481
35000,0.37,1.52
35000,0.368,1.501
35000,0.372,1.538
35000,0.366,1.489
35000,0.377,1.556
36000,0.366,1.487
36000,0.364,1.481
36000,0.37,1.509
36000,0.376,1.526
36000,0.362,1.47
37000,0.37,1.511
37000,0.373,1.493
37000,0.364,1.479
37000,0.369,1.489
37000,0.363,1.51
38000,0.373,1.525
38000,0.369,1.501
38000,0.372,1.543
38000,0.366,1.509
38000,0.371,1.491
39000,0.362,1.471
39000,0.366,1.513
39000,0.371,1.463
39000,0.368,1.526
39000,0.37,1.533
40000,0.367,1.486
40000,0.373,1.529
40000,0.367,1.514
